id,prompt,mistralai/Mixtral-8x7B-Instruct-v0.1,gpt-4-1106-preview
1," What can murtis be translated as?
A. Offerings
B. Prayers
C. Apparitions
D. Idols
Answer:",True,True
2," Naturalists who concentrated on natural elements and processes are associated with which of the following?
A. Daoism
B. Yin-Yang School
C. Mengzi
D. Humanistic Buddhism
Answer:",False,False
3," When was the first Buddhist temple constructed in Japan?
A. 325 CE
B. 119 CE
C. 451 CE
D. 596 CE
Answer:",True,True
4," What is the name of the ten day New Year festival that celebrated Babylon's culture?
A. Akitu
B. Wag and Thoth
C. Bast
D. Nehebkau
Answer:",True,True
5,"Which of the following terms denote the Japanese art of flower arranging?
A. Zazen
B. Tariki
C. Kami
D. Ikebana
Answer:",True,True
6," Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?
A. Harmony and balance
B. Devotion and piety
C. Love and passion
D. Goodwill and love
Answer:",True,False
7," Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?
A. Shabad
B. Khalse
C. Nam
D. Guru
Answer:",True,True
8,"What is the mi'raj?
A. Muhammad's miraculous ascent to heaven
B. Muhammad's migration to Mecca
C. Muhammad's first community in Mecca
D. Muhammad's revelations of the Qur'an
Answer:",True,True
9,"What is the name of the most famous dharmashastras, which probably dates from around the first century?
A. Laws of Dharma
B. Laws of Karma
C. Laws of Vishnu
D. Laws of Manu
Answer:",True,True
10,"What does the term ""Qur'an"" literally mean?
A. The Holy Book
B. The Narrative
C. The Recitation
D. The Pillars
Answer:",True,True
11," Mani referred to God by which of the following names?
A. Mother of Light
B. Father of Goodness
C. Ineffable Lover
D. Eternal Spirit
Answer:",False,True
12," Which tradition is known to promote ""gradual enlightenment""?
A. Bushido
B. Shinto
C. Nichiren
D. Soto Zen
Answer:",True,True
13,"What is the communal meal offered at the place of worship called in Sikhism?
A. Sangat
B. Langar
C. Gurdwara
D. Panth
Answer:",True,True
14,"To which tradition do the anti-Han rebel group known as the Celestial Masters belong?
A. Buddhism
B. Daoism
C. Confucianism
D. Shamanism
Answer:",True,True
15,"What does the word ""Islam"" mean in Arabic?
A. Worship
B. Submission
C. Obedience
D. Faith
Answer:",True,True
16,"What does the term anatman mean?
A. Suffering
B. Soul
C. Impermanence
D. No-self
Answer:",True,True
17," What genre of Sikh literature is denoted by the term janam-sakhis?
A. Spiritual narratives
B. Redemption narratives
C. Birth narratives
D. Theological narratives
Answer:",True,True
18,"Pure Land Buddhism belongs to which school?
A. Vajrayana
B. Theravada
C. Mahayana
D. Mahavira
Answer:",True,True
19," Which Jaina group only allows women to lead a life of semi-renunciation?
A. Svetambara
B. Jina
C. Agama
D. Digambara
Answer:",True,False
20,"What is the most important prayer in Judaism?
A. The Shema
B. The Sefirot
C. Deuteronomy
D. The Decalogue
Answer:",True,True
21," The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?
A. Brahminic orthodoxy
B. Legalistic asceticism
C. Bhakti devotionals
D. Unorthodox practices
Answer:",True,True
22," Which early battle led to the conversion of Mecca?
A. The Battle of Uhud
B. The Battle of Camel
C. The Battle of the Trench
D. The Battle of Badr
Answer:",False,False
23," What interior discipline must be adopted to achieve spiritual liberation within Sikhism?
A. Remembering the Divine Name
B. Meditating on the sacred hymns
C. Remembering that death is inevitable
D. Meditating on the goodness of the created world
Answer:",True,True
24," During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?
A. Confucianism
B. Buddhism
C. Christianity
D. Daoism
Answer:",True,False
