id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_miscellaneous,An important source of information on the credit rating of retail businesses is,False,True
1,mmlu_miscellaneous,"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",True,False
2,mmlu_miscellaneous,Paper will burn at approximately what temperature in Fahrenheit?,False,False
3,mmlu_miscellaneous,The Apple iMac computer is available in all of the following colors except which?,True,True
4,mmlu_miscellaneous,What were the first names of the early American explorers Lewisand Clark?,False,True
5,mmlu_miscellaneous,"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",True,True
6,mmlu_miscellaneous,What is varicella?,True,True
7,mmlu_miscellaneous,Which of the following materials has a resistance that is LEAST affected by temperature changes?,False,False
8,mmlu_miscellaneous,A second-year college student is usually called a what?,True,False
9,mmlu_miscellaneous,In the film 'The Talented Mr Ripley' who plays Mr Ripley?,False,False
10,mmlu_miscellaneous,A hard-edge painting is most likely to be characterized by,True,False
11,mmlu_miscellaneous,Who was president of the United States when Bill Clinton was born?,False,True
12,mmlu_miscellaneous,Which of the following lists includes minerals only?,False,False
13,mmlu_miscellaneous,Which of the following is a likely outcome of the development and use of genetically modified plants?,True,False
14,mmlu_miscellaneous,"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",True,True
15,mmlu_miscellaneous,"Which movie popularized the phrase ""You talkin' to me?""",True,False
16,mmlu_miscellaneous,Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,True,True
17,mmlu_miscellaneous,What animal represents the year 2000 on the Chinese calendar?,False,False
18,mmlu_miscellaneous,Which of the following is part of a farm combine?,True,False
19,mmlu_miscellaneous,According to legend in what country are you most likely to meet a leprechaun?,True,True
20,mmlu_miscellaneous,During which of the following processes within the hydrologic cycle do water molecules absorb energy?,True,False
21,mmlu_miscellaneous,What French city is home to a famous international film festival each spring?,True,True
22,mmlu_miscellaneous,What do you call three consecutive strikes in bowling?,True,True
23,mmlu_miscellaneous,Which of the boys on the TV show 'My Three Sons' is adopted?,False,False
24,mmlu_miscellaneous,Which of these horror films spawned the most sequels?,True,False
25,mmlu_miscellaneous,What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,False,False
26,mmlu_miscellaneous,What kind of animal is a peregrine?,True,True
27,mmlu_miscellaneous,What part of the human body does a gastroenterologist examine?,True,True
28,mmlu_miscellaneous,A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,False,False
29,mmlu_miscellaneous,Meat should be kept frozen at what temperature in degrees Fahrenheit?,True,False
30,mmlu_miscellaneous,What kind of animal is cartoon character Tennessee Tuxedo?,False,False
31,mmlu_miscellaneous,What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,True,False
32,mmlu_miscellaneous,What is the heaviest confirmed noble gas?,False,False
33,mmlu_miscellaneous,How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,False,False
34,mmlu_miscellaneous,Who led the 1831 slave insurrection in SouthamptonVirginia?,True,True
35,mmlu_miscellaneous,For what purpose would you use an awl?,True,True
36,mmlu_miscellaneous,Which of these bones is located in the wrist?,True,True
37,mmlu_miscellaneous,What do you call a young cow?,False,True
38,mmlu_miscellaneous,Which of these is an Italian Design firm?,True,False
39,mmlu_miscellaneous,Operant conditioning would be most useful for,True,True
40,mmlu_miscellaneous,Which of these countries was not a member of the Axis alliance during World War II?,True,True
41,mmlu_miscellaneous,The demand for labor is called derived demand because it is,True,True
42,mmlu_miscellaneous,Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,True,False
43,mmlu_miscellaneous,Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,True,True
44,mmlu_miscellaneous,Which of the following heavenly bodies have never had a spacecraft landed on it?,True,False
45,mmlu_miscellaneous,The labor force primarily consists of all,True,True
46,mmlu_miscellaneous,Which of the following is an example of persuasive speech?,True,True
47,mmlu_miscellaneous,What is the name of the POW camp where 'Hogan's Heroes' are held?,True,True
48,mmlu_miscellaneous,Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,False,False
49,mmlu_miscellaneous,What is a Dutch oven?,False,False
50,mmlu_miscellaneous,What does it mean to work 'probono'?,True,True
51,mmlu_miscellaneous,What is the largest animal ever to live on Earth?,True,True
52,mmlu_miscellaneous,Which of these is not a Hindudeity?,True,True
53,mmlu_miscellaneous,What kind of angle is formed where two perpendicular lines meet?,True,False
54,mmlu_miscellaneous,The nineteenth-century photographic process used to create a daguerreotype was notable for its,False,False
55,mmlu_miscellaneous,A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,True,True
