id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_world_religions, What can murtis be translated as?,False,True
1,mmlu_world_religions, Naturalists who concentrated on natural elements and processes are associated with which of the following?,False,True
2,mmlu_world_religions, When was the first Buddhist temple constructed in Japan?,True,True
3,mmlu_world_religions, What is the name of the ten day New Year festival that celebrated Babylon's culture?,True,True
4,mmlu_world_religions,Which of the following terms denote the Japanese art of flower arranging?,True,True
5,mmlu_world_religions, Guru Nanak and his successors instructed the use of particular Sikh Ragas in order to promote which of the following?,False,False
6,mmlu_world_religions," Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",True,True
7,mmlu_world_religions,What is the mi'raj?,True,True
8,mmlu_world_religions,"What is the name of the most famous dharmashastras, which probably dates from around the first century?",True,False
9,mmlu_world_religions,"What does the term ""Qur'an"" literally mean?",True,False
10,mmlu_world_religions, Mani referred to God by which of the following names?,False,False
11,mmlu_world_religions," Which tradition is known to promote ""gradual enlightenment""?",False,False
12,mmlu_world_religions,What is the communal meal offered at the place of worship called in Sikhism?,True,True
13,mmlu_world_religions,To which tradition do the anti-Han rebel group known as the Celestial Masters belong?,True,False
14,mmlu_world_religions,"What does the word ""Islam"" mean in Arabic?",True,True
15,mmlu_world_religions,What does the term anatman mean?,True,True
16,mmlu_world_religions, What genre of Sikh literature is denoted by the term janam-sakhis?,True,True
17,mmlu_world_religions,Pure Land Buddhism belongs to which school?,True,True
18,mmlu_world_religions, Which Jaina group only allows women to lead a life of semi-renunciation?,False,False
19,mmlu_world_religions,What is the most important prayer in Judaism?,True,True
20,mmlu_world_religions, The socio-political alliance between the kshatriyas and the shramanas was rooted in their shared opposition to which of the following?,True,True
21,mmlu_world_religions, Which early battle led to the conversion of Mecca?,False,False
22,mmlu_world_religions, What interior discipline must be adopted to achieve spiritual liberation within Sikhism?,True,True
23,mmlu_world_religions," During Japan's occupation of Korea (1910-1945), which of the following was imposed upon the Koreans?",True,False
