id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_logical_fallacies,A valid disjunctive syllogism has a major premise that:,True,False
1,mmlu_logical_fallacies,Which of the following best describes the fallacy of style over substance?,True,False
2,mmlu_logical_fallacies,"Which of the following fallacies is a way of suppressing evidence that eliminates a source of evidence from consideration by claiming the source is flawed, when there is no true relationship between the alleged flaw and the reliability of the source?",True,True
3,mmlu_logical_fallacies,The false analogy fallacy is,True,True
4,mmlu_logical_fallacies,The _ad nauseam_ fallacy is,True,False
5,mmlu_logical_fallacies,Arguing that what is true of an entire object is also true of each part of that object is the fallacy of,True,False
6,mmlu_logical_fallacies,Which of the following describes the horse laugh fallacy?,True,False
7,mmlu_logical_fallacies,Arguing that a lack of evidence proves something is the fallacy of...,True,True
8,mmlu_logical_fallacies,The argument against the person consists of,True,False
9,mmlu_logical_fallacies,Which of the following fallacies happens when someone concludes that someone must be honest because the people he hangs around with are honest?,True,True
10,mmlu_logical_fallacies,Asking a question that includes an unproven assumption may lead to which of the following fallacies?,False,False
11,mmlu_logical_fallacies,"Polonius in William Shakespeare's Hamlet: ""Your noble son is mad: Mad call I it, for to define true madness, What is't but to be nothing else but mad?""",False,False
12,mmlu_logical_fallacies,Notice from the Hyatt Regency Hotel in New Orleans: We are pleased to confirm your reservation. It will be held on a space-available basis.,False,False
13,mmlu_logical_fallacies,The natural law fallacy is,True,False
14,mmlu_logical_fallacies,"If someone uses an emotionally charged restatement of a claim in place of support for the claim, that person may have committed which of the following fallacies?",False,True
15,mmlu_logical_fallacies,Arguing that a claim must be true merely because a substantial number of people believe it is called the fallacy of...,True,False
16,mmlu_logical_fallacies,_Ad populum_. is another name for which fallacy?,True,True
17,mmlu_logical_fallacies,In a valid disjunctive syllogism the minor premise must,True,False
18,mmlu_logical_fallacies,Which of the following describes the fallacy of appeal to spite?,False,False
19,mmlu_logical_fallacies,_Ad hominem_ is another name for the fallacy of,True,True
20,mmlu_logical_fallacies,The fallacy of appeal to the person is rejecting a claim by...,True,True
21,mmlu_logical_fallacies,Another name for hasty conclusion is,False,True
22,mmlu_logical_fallacies,"John S. Knight, Detroit Free Press (3 July 1970): ...Capitalism is the economic system in which the means of production and distribution are privately owned and operated for profit. The alternative system is called socialism, the theory of the ownership and operation of the means of production by society, with all members sharing in the work and the products.",True,False
23,mmlu_logical_fallacies,The fallacy of composition is,True,False
24,mmlu_logical_fallacies,""" _Ad crumenam_ "" is a specific kind of",True,False
25,mmlu_logical_fallacies,Which of the following fallacies happens when someone draws a conclusion that is simply a restatement of one of the premises?,True,False
26,mmlu_logical_fallacies,"I don't know what the answer is to number 8. But Heather hasn't made the third option into the correct answer for a while, and even then only once, so I'm guessing that this is the fallacy of Composition!",False,False
27,mmlu_logical_fallacies,"When someone argues that making a change will have no significant effect, but there is no evidence that the effect will not be significant, that person has committed which of the following fallacies?",True,False
28,mmlu_logical_fallacies,Which of the following best describes the fallacy of question begging epithets?,True,True
29,mmlu_logical_fallacies,Which of the following describes he fallacy of appeal to pride?,True,True
30,mmlu_logical_fallacies,A syllogism that is formally invalid,True,False
31,mmlu_logical_fallacies,Another name for the fallacy of false dilemma is,True,True
32,mmlu_logical_fallacies,"When someone responds to your argument with a sarcastic statement such as, ""Yeah, right. Like that's ever going to happen,"" that person may have committed which fallacy?",False,False
33,mmlu_logical_fallacies,The _post hoc_ fallacy is,True,False
