id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_astronomy,"What is true for a type-Ia (""type one-a"") supernova?",True,False
1,mmlu_astronomy,If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate:,True,True
2,mmlu_astronomy,Why is the sky blue?,True,True
3,mmlu_astronomy,You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct?,True,True
4,mmlu_astronomy,Which of the following is/are true?,True,True
5,mmlu_astronomy,A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact?,False,False
6,mmlu_astronomy,"Some of Mars'water is frozen in the soil and the ice caps and some was lost due to solar wind stripping but much of the original water is thought to have been lost through another mechanism. What happened to this ""lost""water?",True,False
7,mmlu_astronomy,Most rocks on the Moon's surface are older than those on the Earth's surface. The best evidence for this is:,True,True
8,mmlu_astronomy,What is the second most common element in the solar system?,False,False
9,mmlu_astronomy,What is the source of the material that causes meteor showers?,False,False
10,mmlu_astronomy,Why does the plasma (ion) tail of a comet always point away from the Sun?,False,False
11,mmlu_astronomy,How did Eratosthenes estimate the size of Earth in 240 B.C.?,True,True
12,mmlu_astronomy,The Large Magellanic Cloud is ...,True,True
13,mmlu_astronomy,Why do we look for water-ice in craters at Mercury's pole?,True,True
14,mmlu_astronomy,The Milky Way is part of a giant supercluster with a diameter of 160 Mpc. What is the name of this supercluster?,True,True
15,mmlu_astronomy,On which planet in our solar system can you find the Great Red Spot?,True,True
16,mmlu_astronomy,Why does Earth have the strongest magnetic field among the terrestrial worlds?,True,True
17,mmlu_astronomy,Which of the following is not true?,True,False
18,mmlu_astronomy,Which of the following is/are common feature(s) of all fresh (i.e. not eroded) impact craters formed on solid surfaces:,True,True
19,mmlu_astronomy,From laboratory measurements we know that a particular spectral line formed by hydrogen appears at a wavelength of 486.1 nanometers (nm). The spectrum of a particular star shows the same hydrogen line appearing at a wavelength of 485.9 nm. What can we conclude?,True,False
20,mmlu_astronomy,The lithosphere of a planet is the layer that consists of,True,True
21,mmlu_astronomy,What is the Cassini division of Saturn's rings?,False,False
22,mmlu_astronomy,Which of the following statements about sidereal and solar days is not true?,True,False
23,mmlu_astronomy,Meteorites with high metal content probably are,False,True
24,mmlu_astronomy,Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?,True,True
25,mmlu_astronomy,The four big moons of Jupiter are Callisto Europa Ganymede and Io. Which one of them has the smallest distance to Jupiter?,True,False
26,mmlu_astronomy,Why are the season's in Mars' southern hemisphere so extreme?,False,False
27,mmlu_astronomy,What Mars mission will be landing on May 25 2008 and will dig a trench into (hopefully) ice-rich soil?,True,False
28,mmlu_astronomy,What is the significance of the 1:2:4 resonance in the Jupiter's moons system?,False,True
29,mmlu_astronomy,The terrestrial planet cores contain mostly metal because,False,False
30,mmlu_astronomy,Why are the inner planets made of denser materials than the outer planets?,True,False
31,mmlu_astronomy,What do meteorites reveal about the solar system?,True,True
32,mmlu_astronomy,Venus shows evidence of which of the following surface processes?,True,True
33,mmlu_astronomy,Planetary rings are,True,True
34,mmlu_astronomy,Suppose the angular separation of two stars is smaller than the angular resolution of your eyes. How will the stars appear to your eyes?,False,False
35,mmlu_astronomy,What is not true of Jupiter's magnetic field?,True,True
36,mmlu_astronomy,What does the astronomical term ecliptic describe?,True,True
37,mmlu_astronomy,The so-called dark energy is a model to explain ...,True,True
38,mmlu_astronomy,How do scientists know that the majority of meteorites come from the asteroid belt?,True,False
39,mmlu_astronomy,"Jupiter and the other jovian planets are sometimes called ""gas giants."" In what sense is this term misleading?",False,False
40,mmlu_astronomy,Which of the following is not one of nor follows directly from Kepler's laws?,True,True
