id,domain,prompt,Gemma-2-27b-it,Llama-3.2-1B-Instruct
0,mmlu_global_facts,"As of 2016, about what percentage of adults aged 18 years or older were overweight?",False,True
1,mmlu_global_facts,What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,False,False
2,mmlu_global_facts,"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",False,True
3,mmlu_global_facts,Which of the following countries generated the most total energy from solar sources in 2019?,True,True
4,mmlu_global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",False,False
5,mmlu_global_facts,What is the biggest cause of death in children under five years old (as of 2017)?,True,True
6,mmlu_global_facts,"As of 2019, about what percentage of the global population does not have access to safe drinking water?",False,True
7,mmlu_global_facts,About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,False,True
8,mmlu_global_facts,"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",False,True
9,mmlu_global_facts,"As of 2017, what fraction of the population in India used the internet in the past three months?",False,False
10,mmlu_global_facts,"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",False,True
11,mmlu_global_facts,"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",False,False
12,mmlu_global_facts,"As of 2020, about what percentage of the world population practices open defecation?",False,True
13,mmlu_global_facts,Which of the following is not an element of the redistribution-with-growth policy approach?,True,False
14,mmlu_global_facts,About what percentage of the global population was literate in 1950?,False,False
15,mmlu_global_facts,"As of 2016, about what percentage of adults aged 18 years or older were obese?",True,False
16,mmlu_global_facts,"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",False,False
17,mmlu_global_facts,"As of 2017, what percentage of Americans live in urban areas?",False,True
18,mmlu_global_facts,What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,False,True
19,mmlu_global_facts,"In 2016, about how many people in the United States were homeless?",True,False
20,mmlu_global_facts,In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,True,False
21,mmlu_global_facts,"As of 2013, share of people in the Ethiopia who think political parties are corrupt is",True,False
22,mmlu_global_facts,"In 1997, the World Bank found that the fraction of the world’s population living in low and lower-middle income countries—that is, countries with per capita incomes of $1230 or less—was approximately",False,False
23,mmlu_global_facts,"As of 2015, agriculture made up about what percentage of total Indian GDP?",False,False
24,mmlu_global_facts,Which of the following is true as of 2020?,False,True
25,mmlu_global_facts,"As of 2019, about what percentage of people from Brazil says homosexuality should be accepted by society?",False,False
26,mmlu_global_facts,"As of 2017, the share of GDP spent on the military by Saudi Arabia is about",False,False
27,mmlu_global_facts,"As of 2019, about what share of electricity came from fossil fuels in the United States?",True,True
28,mmlu_global_facts,What is the percentage of children aged 13-15 in Egypt who reported being bullied at least once in the past couple of months as of 2015?,False,False
29,mmlu_global_facts,"As of 2018, about what percentage of US adults say criminal risk assessment for people up for parole is an unreasonable application of algorithmic decision making?",False,True
30,mmlu_global_facts,"In 2018, about how many chickens were killed for meat production?",False,False
31,mmlu_global_facts,"In 2016, what percentage of the population of South Sudan had access to electricity?",True,False
32,mmlu_global_facts,About what percentage of survey respondents from Mexico report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,False,False
33,mmlu_global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in China?",False,False
34,mmlu_global_facts,Ross Perot makes polling history by leading the presidential race briefly in June as a third-party candidate with 39%. He winds up with _% of the popular vote.,False,False
35,mmlu_global_facts,"As of 2019, about what percentage of Turks say God plays an important role in their life?",False,False
36,mmlu_global_facts,Which of the following was responsible for the most death in the 20th century?,False,False
37,mmlu_global_facts,"What is the percentage of children aged 13-15 in the United States who reported being in a physical fight at school, one or more times during the past 12 months as of 2015?",False,False
38,mmlu_global_facts,"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",False,True
39,mmlu_global_facts,"As of 2019, about what percentage of people from Turkey agree that the state is run for the benefit of all the people?",False,True
40,mmlu_global_facts,"As of 2015, what percentage of the global population over 15 years old was literate?",True,False
41,mmlu_global_facts,About what percentage of survey respondents from China report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,True,False
42,mmlu_global_facts,"As of 2019, which of the following had the lowest life expectancy?",False,False
43,mmlu_global_facts,"As of 2019, unsafe water is responsible for about how many deaths each year?",True,False
44,mmlu_global_facts,Which of the following causes more deaths globally each year (as of 2017)?,False,False
45,mmlu_global_facts,About how many people are infected by HIV/AIDS as of 2020?,True,False
46,mmlu_global_facts,What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,True,False
47,mmlu_global_facts,"As of 2019, about what percentage of South Koreans say it is necessary to believe in God in order to be moral and have good values?",False,False
48,mmlu_global_facts,What is the percentage of children aged 13-15 in Japan who reported being bullied at least once in the past couple of months as of 2015?,False,True
49,mmlu_global_facts,"As of 2018, about what percentage of US adults say computer programs will always reflect human bias?",False,False
50,mmlu_global_facts,"As of 2017, the share of GDP spent on the military by China is about",True,False
51,mmlu_global_facts,"The conjecture that inequality first increases with development, then decreases with further development (known as the “inverted U hypothesis”) has, as of 2020, been",True,False
52,mmlu_global_facts,"Worldwide, 30 year old men have spent 10 years in school, on average. How many years have women of the same age spent in school, as of 2020?",False,True
53,mmlu_global_facts,"As of 2017, the share of deaths in Greenland by suicide is about",False,False
54,mmlu_global_facts,"As of 2019, about what percentage of people from Russia says homosexuality should be accepted by society?",True,False
55,mmlu_global_facts,"As of 2019, about what percentage of Americans say the relationship between the U.S. and Germany is good?",True,False
56,mmlu_global_facts,"As of 2019, about what percentage of Americans say it is very important to have free media in our country without government/state censorship?",False,False
57,mmlu_global_facts,In 1987 during Iran Contra what percent of Americans believe Reagan was witholding information?,False,False
58,mmlu_global_facts,"In Sub-Saharan Africa, as of 2020,",True,False
59,mmlu_global_facts,"World Bank data show that in 1995, the poorest 20% of households accounted for 7.5% of household income in Niger, the next 20% of households accounted for 11.8% of income, the middle 20% accounted for 15.5% of income, the second richest 20% accounted for 21.1% of income, and the top 20% accounted for 44.1% of income. What was the cumulative income share of the bottom 60% of households in Niger?",True,False
60,mmlu_global_facts,How many children between the ages of 5-14 worked globally as of 2012?,True,True
